メラ,美拉,メラ系咒文伤害，最高307
メラミ,美拉米,メラ系咒文大伤害，最高577
メラゾ-マ,美拉佐玛,メラ系咒文特大伤害，最高861
メラガイア-,,メラ系咒文最大伤害，最高1123
イオ,伊欧,イオ系咒文伤害，最高233
イオラ,伊欧拉,イオ系咒文大伤害，最高461
イオナズン,伊欧那珍,イオ系咒文特大伤害，最高616
イオグランデ,,イオ系咒文最大伤害，最高823
バギ,巴基,バギ系咒文伤害，最高214
バギマ,巴基玛,バギ系咒文大伤害，最高400
バギクロス,巴基克洛斯,バギ系咒文特大伤害，最高554
バギム-チョ,,バギ系咒文最大伤害，最高798
ヒャド,希亚多,ヒャド系咒文伤害，最高369
ヒャダルコ,希亚达克,ヒャド系咒文大伤害，最高435
マヒャド,玛希亚多,ヒャド系咒文特大伤害，最高583
マヒャデドス,,ヒャド系咒文最大伤害，最高773
ギラ,基拉,ギラ系咒文伤害，最高168
ベギラマ,贝基拉玛,ギラ系咒文大伤害，最高224
ベギラゴン,贝基拉刚,ギラ系咒文特大伤害，最高495
ギラグレイド,,ギラ系咒文最大伤害，最高671
デイン,莱汀,デイン系咒文伤害，最高400
ライデイン,基加汀,デイン系咒文大伤害，最高690
ギガデイン,米那汀,デイン系咒文特大伤害，最高945
ジゴデイン,,デイン系咒文最大伤害，最高1140
ドルマ,,ドルマ系咒文伤害，最高431
ドルクマ,,ドルマ系咒文大伤害，最高661
ドルモ-ア,,ドルマ系咒文特大伤害，最高932
ドルマドン,,ドルマ系咒文最大伤害，最高1138
ザキ,查奇,即死
ザラキ,查拉奇,即死
メガンテ,梅干地,即死，成功率高，但自己死亡
ベタン,,HP降低当前HP的1/4
ベタドロン,,HP降低当前HP的1/6
グランドクロス,巨十字,最大级咒文伤害，最高777，对ゾンビ系怪物伤害1.3倍
メドロ-ア,美多洛亚,对单体最大级咒文伤害，最高1255
マダンテ,玛丹特,究极咒文伤害，伤害和MP有关，最高768
ホイミ,荷伊米,HP30~480回复
ベホイミ,贝荷伊米,HP75~580回复
ベホイマ,,HP350~999回复
ベホマラ-,贝荷玛拉,HP90~580回复
ベホマズン,贝荷玛珍,HP350~999回复
ザオラル,查欧拉鲁,一定几率复活，HP1/2
ザオリク,查欧立克,100%几率复活，HP1/2
メガザル,美加扎鲁,自己死亡，其它同伴HP100%复活
リホイミ,,5回合左右行动后HP回复10%
マホヤル,,自己的1/2MP给指定的一个同伴
マホヤズン,,自己的所有MP给指定的一个同伴
マフエル,,MP回复少许，最高100
マホヘル,,MP大幅度降低
キアリ-,基亚里,解毒、猛毒
キアリク,基亚里克,解除睡眠和麻痹
キアラル,基亚拉鲁,解除混乱
バイキルト,倍加尔特,2~5回合内伤害翻倍
バイシオン,,2~5回合内伤害增加到1.5倍
ダウン,,2~5回合内攻击力减半
ダウンオ-ル,,2~5回合内攻击力降低到3/4
スカラ,斯卡拉,4~7回合内防御力翻倍
スクルト,斯克鲁特,4~7回合内防御力增加到1.5倍
ルカニ,鲁卡尼,4~7回合内防御力减半
ルカナン,鲁卡南,4~7回合内防御力降低到3/4
ピオラ,皮欧拉,4~7回合内速度翻倍
ピオリム,皮欧里姆,4~7回合内速度增加到1.5倍
ボミエ,波米艾,4~7回合内速度减半
ボミオス,波米欧斯,4~7回合内速度降低到3/4
インテ,,4~7回合内智慧翻倍
インテラ,,4~7回合内智慧增加到1.5倍
フ-ル,,4~7回合内智慧减半
マフ-ル,,4~7回合内智慧降低到3/4
マヌ-サ,玛努沙,斩击命中减半
ラリホ-,拉里荷,催眠
ラリホ-マ,拉里荷玛,催眠
マホトラ,玛荷多拉,吸收MP给自己，最高100
マホトム,,咒文封印
マホト-ン,玛荷顿,咒文封印
マホカンタ,玛荷坎达,反射咒文
メダパニ,美达巴尼,混乱
メダパ-ニャ,,混乱
アストロン,阿斯特隆,无法做任何动作，也不接受任何动作，效果一回合
バ-ハ,,火焰吹雪吐息伤害半减
フバ-ハ,夫巴哈,火焰吹雪吐息伤害降低到3/4
マジックバリア,玛吉克巴利亚,咒文伤害降低
マジックハック,,咒文伤害增加
アタックカンタ,,反击绝大部分斩击，效果仅一次
ダモ-レ,,可看到对方的能力
リザオラル,,死亡时自动复活
リバ-ス,,全场速度慢的怪物先动
火炎斬り,火炎斩,メラ＆炎息系耐性低的敌人伤害1.1倍
れんごく斬り,炼狱斩,メラ＆炎息系耐性低的敌人伤害1.2倍
れっぱ斬り,爆破斩,イオ＆ベタン系耐性低的敌人伤害1.1倍
ばくれん斬り,爆连斩,イオ＆ベタン系耐性低的敌人伤害1.2倍
しんくう斬り,真空斩,バギ＆ドルマ系耐性低的敌人伤害1.1倍
ふうじん斬り,风神斩,バギ＆ドルマ系耐性低的敌人伤害1.2倍
いなずま斬り,闪电斩,デイン＆ギラ系耐性低的敌人伤害1.1倍
らいじん斬り,雷神斩,デイン＆ギラ系耐性低的敌人伤害1.2倍
ひょうけつ斬り,冰结斩,ヒャド＆氷息系耐性低的敌人伤害1.1倍
ブリザ-ラッシュ,暴雪猛击,ヒャド＆氷息系耐性低的敌人伤害1.2倍
